@RELATION hddperf

@ATTRIBUTE writepct NUMERIC
@ATTRIBUTE leaders NUMERIC
@ATTRIBUTE followers NUMERIC
@ATTRIBUTE iops NUMERIC

@DATA
70,28,7,316
80,28,7,332
90,28,7,360
100,28,7,388
10,4,8,593
20,4,8,367
30,4,8,596
40,4,8,634
45,4,8,580
50,4,8,547
55,4,8,275
60,4,8,603
70,4,8,471
80,4,8,482
90,4,8,517
100,4,8,585
10,8,8,307
20,8,8,227
30,8,8,557.5
40,8,8,536
45,8,8,510.5
50,8,8,467.5
55,8,8,147
60,8,8,450.5
70,8,8,447
80,8,8,427.5
90,8,8,461
100,8,8,495.5
10,12,8,335
20,12,8,178
30,12,8,266
40,12,8,469
45,12,8,483
50,12,8,339
55,12,8,118
60,12,8,207
70,12,8,416
80,12,8,420
90,12,8,433
100,12,8,426
10,17,8,528
20,17,8,462
30,17,8,384
40,17,8,472
45,17,8,441
50,17,8,337
55,17,8,206
60,17,8,302
70,17,8,387
80,17,8,395
90,17,8,407
100,17,8,415
10,32,8,441
20,32,8,421
30,32,8,401
40,32,8,383
45,32,8,352
50,32,8,311
55,32,8,358
60,32,8,304
70,32,8,333
80,32,8,347
90,32,8,336
100,32,8,352
10,3,9,490
20,3,9,481
30,3,9,478
40,3,9,576
45,3,9,560
50,3,9,567
55,3,9,572
60,3,9,551
70,3,9,459
80,3,9,523
90,3,9,528
100,3,9,555
10,7,9,470
20,7,9,294
30,7,9,545
40,7,9,562
45,7,9,463
50,7,9,461
55,7,9,279
60,7,9,564
70,7,9,417
80,7,9,448
90,7,9,459
100,7,9,494
10,36,9,433
20,36,9,396
30,36,9,396
40,36,9,370
45,36,9,361
50,36,9,321
55,36,9,344
60,36,9,359
70,36,9,322
80,36,9,338
90,36,9,334
100,36,9,331
10,2,10,597
20,2,10,593
30,2,10,549
40,2,10,664
45,2,10,619
50,2,10,678
55,2,10,622
60,2,10,598
70,2,10,509
80,2,10,551
90,2,10,544
100,2,10,555
10,6,10,322
20,6,10,314
30,6,10,528
40,6,10,519
45,6,10,501
50,6,10,507
55,6,10,224
60,6,10,272
70,6,10,425
80,6,10,442
90,6,10,449
100,6,10,479
10,10,10,329
20,10,10,266
30,10,10,471
40,10,10,510
45,10,10,453
50,10,10,416
55,10,10,251
60,10,10,503
70,10,10,437
80,10,10,435
90,10,10,433
100,10,10,419
10,15,10,258
20,15,10,243
30,15,10,411
40,15,10,460
45,15,10,442
50,15,10,404
55,15,10,181
60,15,10,180
70,15,10,396
80,15,10,399
90,15,10,395
100,15,10,408
10,20,10,452
20,20,10,499
30,20,10,427
40,20,10,459
45,20,10,436
50,20,10,343
55,20,10,298
60,20,10,334
70,20,10,367
80,20,10,380
90,20,10,381
100,20,10,379
10,40,10,435
20,40,10,411
30,40,10,354
40,40,10,365
45,40,10,317
50,40,10,343
55,40,10,342
60,40,10,356
70,40,10,322
80,40,10,324
90,40,10,329
100,40,10,332
10,5,11,332
20,5,11,364
30,5,11,553
40,5,11,524
45,5,11,536
50,5,11,501
55,5,11,322
60,5,11,421
70,5,11,432
80,5,11,474
90,5,11,464
100,5,11,497
10,9,11,316
20,9,11,296
30,9,11,524
40,9,11,508
45,9,11,399
50,9,11,435
55,9,11,279
60,9,11,318
70,9,11,429
80,9,11,405
90,9,11,400
