@RELATION st1perf

@ATTRIBUTE writepct NUMERIC
@ATTRIBUTE leaders NUMERIC
@ATTRIBUTE followers NUMERIC
@ATTRIBUTE iops NUMERIC

@DATA
100,26,14,561
10,10,15,649
20,10,15,649
30,10,15,633
40,10,15,626
45,10,15,591
50,10,15,579
55,10,15,617
60,10,15,608
70,10,15,599
80,10,15,558
90,10,15,552
100,10,15,544
10,15,15,567
20,15,15,580
30,15,15,574
40,15,15,575
45,15,15,543
50,15,15,544
55,15,15,576
60,15,15,575
70,15,15,575
80,15,15,544
90,15,15,543
100,15,15,542
10,20,15,554
20,20,15,565
30,20,15,567
40,20,15,568
45,20,15,525
50,20,15,536
55,20,15,568
60,20,15,568
70,20,15,567
80,20,15,536
90,20,15,537
100,20,15,537
10,30,15,483
20,30,15,553
30,30,15,528
40,30,15,560
45,30,15,560
50,30,15,559
55,30,15,559
60,30,15,560
70,30,15,560
80,30,15,559
90,30,15,560
100,30,15,560
10,35,15,455
20,35,15,554
30,35,15,532
40,35,15,557
45,35,15,557
50,35,15,557
55,35,15,557
60,35,15,557
70,35,15,557
80,35,15,557
90,35,15,557
100,35,15,557
10,4,16,893
20,4,16,839
30,4,16,824
40,4,16,773
45,4,16,736
50,4,16,708
55,4,16,733
60,4,16,710
70,4,16,684
80,4,16,617
90,4,16,587
100,4,16,562
10,9,16,692
20,9,16,670
30,9,16,673
40,9,16,648
45,9,16,604
50,9,16,593
55,9,16,626
60,9,16,624
70,9,16,612
80,9,16,565
90,9,16,557
100,9,16,545
10,14,16,570
20,14,16,597
30,14,16,590
40,14,16,591
45,14,16,549
50,14,16,554
55,14,16,586
60,14,16,584
70,14,16,582
80,14,16,546
90,14,16,545
100,14,16,541
10,24,16,554
20,24,16,563
30,24,16,542
40,24,16,563
45,24,16,520
50,24,16,532
55,24,16,564
60,24,16,563
70,24,16,563
80,24,16,563
90,24,16,563
100,24,16,555
10,8,17,724
20,8,17,704
30,8,17,680
40,8,17,655
45,8,17,616
50,8,17,607
55,8,17,646
60,8,17,636
70,8,17,618
80,8,17,572
90,8,17,560
100,8,17,550
10,18,17,557
20,18,17,568
30,18,17,566
40,18,17,568
45,18,17,532
50,18,17,534
55,18,17,567
60,18,17,567
70,18,17,567
80,18,17,536
90,18,17,537
100,18,17,536
10,33,17,452
20,33,17,557
30,33,17,546
40,33,17,557
45,33,17,557
50,33,17,557
55,33,17,557
60,33,17,557
70,33,17,557
80,33,17,557
90,33,17,556
100,33,17,557
10,2,18,2185
20,2,18,1758
30,2,18,1488
40,2,18,1317
45,2,18,1161
50,2,18,1062
55,2,18,1026
60,2,18,962
70,2,18,844
80,2,18,618
90,2,18,623
100,2,18,561
10,12,18,636
20,12,18,631
30,12,18,624
40,12,18,616
45,12,18,582
50,12,18,572
55,12,18,605
60,12,18,602
70,12,18,594
80,12,18,556
90,12,18,548
100,12,18,541
